,id,pool-id,user-id,amount,date,method
5397,0xed26495b6a9133f5958487b398c7288a116ca2cb2b69fd9a2e00e22a89578b4b:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xbcc4371cc40592794bf5b727c17cf7de37ac180a,1999502954276911425453,2021-06-20 17:56:53,redeem-underlying
5398,0x0dcc1076ef1c0fe19d9faa7e4c30c8486ee999a115f465ddd8936baf122381be:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x1e4fd480d150b968cda45a8ccac27304b5f03548,94132173936131377879,2021-06-20 17:42:03,redeem-underlying
5399,0xe392745479da3c8a8a48047173d892a7586c932dfade16b1d685745a4ea0bb4c:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x1e4fd480d150b968cda45a8ccac27304b5f03548,112050391,2021-06-20 17:36:11,redeem-underlying
5400,0xcc9faa6713680f093659b60d138064703d6c39f52b2f94bcdcc958a73fb06c80:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x276c47250750890ef21cf9ea6fbddf5b087acde6,200731621257753986526,2021-06-20 17:34:11,redeem-underlying
5401,0xe9148063dd04059e677dd63738123eb317c203a8aef4205e4ef758fec3bd2676:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xeaa86b7cb6d222e9df20c54be365ed80b68126fb,602317986547279900181,2021-06-20 17:25:27,redeem-underlying
5402,0x89ac931244ea35d45484db6beb3806f00ee76aaeec1d9e17cbf90adaad0d0bac:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xb8a14095e636ff99dff5b591ae35bbedfe9b22de,213899774466201669771,2021-06-20 17:06:10,redeem-underlying
5403,0x4272c213d95a6eabc3a1bc629c56040fb004b6c12cc261ad686d1ea277f7f63e:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xf2a883004863d5a47bf7f5745c553cc9c09c7462,118997903190597129,2021-06-20 15:48:24,redeem-underlying
5404,0x8be3d47a176f06ac9c4f8288772aee61951305dca2c8ae0cbcb033445f51707e:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xacc597b60a8c67d4b023d413bbe7c98730322aa7,1001232859216487210820,2021-06-20 15:34:10,redeem-underlying
5405,0xdb4915b6145840f7ba4606e4dbf7f897e24c83fe7e1dea6e8ca3d95e4a6837d9:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,284746047999416991744,2021-06-20 14:35:17,redeem-underlying
5406,0x6d90e906ac16624abb30f664585339bcd54444d410c27c931e7796441c19d167:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x447a24d43e2a06dab0528b550b5c088559fe10a2,10803146462113931454,2021-06-20 14:27:03,redeem-underlying
5407,0x472803ff2cf5f315ba667c70d7b4b3808f6c8cbe05bb777cb9a5b78169536e42:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xbcc4371cc40592794bf5b727c17cf7de37ac180a,102302849543365487134,2021-06-20 14:01:05,redeem-underlying
5408,0x471ad2420fffff9aa189d8643c5a599f837acc166114fa6ae418d8fb690d6c2f:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xbcc4371cc40592794bf5b727c17cf7de37ac180a,827931553068145803838,2021-06-20 13:59:55,redeem-underlying
5409,0x189ae89a01dd576a47662ad03e10caadb9fc39f5f5debd08861fa18adebdf124:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xfd3dfb524b2da40c8a6d703c62be36b5d8540626,395000000000000000000,2021-06-20 13:06:11,redeem-underlying
5410,0x895b9a8b5162c97af775159de512c95e6a86e631fe0a8f055085bbd8cab41597:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x738726961dabef11514ec9b75e0665ee0050ebc4,40000000,2021-06-20 12:40:11,redeem-underlying
5411,0x51fe261ebf7bf9a71ede20baa6e20e861cd40554e6af8a1ee4e3e7da82acda83:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x738726961dabef11514ec9b75e0665ee0050ebc4,40000000,2021-06-20 12:35:39,redeem-underlying
5412,0xe03f2a8ff0fb414d0dc6d746752bac04bc2889fa67df3f6a3cc4a70b5644ab8b:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x3f375ddb3e07262d48b3fa79489297ce573e35c4,15000000,2021-06-20 12:31:24,redeem-underlying
5413,0x011d53954f8619d20fae8dbbee44fc6d32ce8c423e68d6c0224a655c5ba2480f:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x738726961dabef11514ec9b75e0665ee0050ebc4,5000000000000000000,2021-06-20 12:23:05,redeem-underlying
5414,0xfa299fe583c9b9ec106bdbd61cdca36d79710aa7eadfc5535b12438db628149a:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,559364633998135132160,2021-06-20 12:13:14,redeem-underlying
5415,0xa1aea0234983c7f774af1c3382861e245e718be520d7cc8e5f21e6d63561e0a3:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x0f2f9599c19cddd869d0bbf7bc3bfe354dd5b40a,506250441268652507120,2021-06-20 12:12:58,redeem-underlying
5416,0xfd4c4669405c553d4b0ba458ed48fb3fd7264387e7b52d34c059f0651a1639eb:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xe25e044d1b59caf7c4bd7f7e2d7065d20292aa77,5000000000000000000,2021-06-20 11:59:00,redeem-underlying
5417,0x3cdeac137d68643f5f998a491b7ee3e6ec783a83625b9fa25e7a12a6e8b6542f:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xe25e044d1b59caf7c4bd7f7e2d7065d20292aa77,4000000000000000000,2021-06-20 11:56:13,redeem-underlying
5418,0x8c4dec9bc3b7b3b6972cad7950139dc85ef8e96e257c6398f357b921cc352757:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x97fc31117f7f252f99c696d4cd24efb91d30cac8,89530252273950667,2021-06-20 11:53:56,redeem-underlying
5419,0x4318794ad5f1f2f2251d6ab52f3ee3f25a8cd0251d0f2b65ad56b9f139e1c424:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xe25e044d1b59caf7c4bd7f7e2d7065d20292aa77,5000000000000000000,2021-06-20 11:52:21,redeem-underlying
5420,0xe20a535791924cb24e79ebd4fa3a9cd41a09c0f814fc8b6ce45dee82bc8d7d16:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xe25e044d1b59caf7c4bd7f7e2d7065d20292aa77,4000000000000000000,2021-06-20 11:47:34,redeem-underlying
5421,0x6a37d0104a01677f0ac95ff0c9ab15b6179b82807442cc12a8e19fb4f38ae11a:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x365d88ea4aa6ce8136610e324fee84f3d64c56d6,32214973734859217,2021-06-20 11:22:57,redeem-underlying
5422,0x4c7fc5088c9300ba0ef1261e4f81efe755a6e9a8cc34d97d12acc70ef503850b:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x738726961dabef11514ec9b75e0665ee0050ebc4,7000000000000000000,2021-06-20 10:49:28,redeem-underlying
5423,0xa7f2ed0a6b4fe38cd7dc4ccf517b2af9420f90f9103ccfcd9ac270191e8e7f42:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x738726961dabef11514ec9b75e0665ee0050ebc4,8000000000000000000,2021-06-20 10:43:38,redeem-underlying
5424,0x0318677ec3843ed6034321e288ff77583fe96c97059287609b6c2d7bcdb273b5:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xfd3dfb524b2da40c8a6d703c62be36b5d8540626,3154737405,2021-06-20 10:37:07,redeem-underlying
5425,0xc0d237178f4d32800bc87247eaae2be5b5da2c4ffb9e6d4a4cd38076fb47a75b:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xbcc4371cc40592794bf5b727c17cf7de37ac180a,6824168546159971869,2021-06-20 10:30:11,redeem-underlying
5427,0xdd474969e7ca1ecaba9803c7b4af6d795bbd1eb9246ca73913a1bd89cde11786:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x6bdb48aa05fff3b7495b7b0990707774683ab1b2,100114635508291516257,2021-06-20 10:18:19,redeem-underlying
5426,0xdec3a5897fedb06e5e0c2f167446c0bd48e7e52f212c6d2b732d2e46ba992053:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x6bdb48aa05fff3b7495b7b0990707774683ab1b2,512726021116024692059,2021-06-20 10:18:19,redeem-underlying
5428,0xb412e7d0f29663180b2b514c5775c858e6c93607c49cedef2edb5ee9de558d13:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x6bdb48aa05fff3b7495b7b0990707774683ab1b2,3483018069994330342847,2021-06-20 10:10:24,redeem-underlying
5429,0x78d4f0a4b7c01ae28a9e347397b642d71c3784ceca35c1f85c8e48a80fe132f6:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xbcc4371cc40592794bf5b727c17cf7de37ac180a,19764883191106580,2021-06-20 10:06:43,redeem-underlying
5430,0x72b3d3f4ee3fa79c19cbb014035906c9ab83a3fcbd38d9297830ec57075b78b7:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xf68eecbe1db8760374697c6b3a76c7e2780c140c,6074546183221202322,2021-06-20 08:43:55,redeem-underlying
5431,0xfe13eac83a0e22e4f3c2a68a096fce10a29ba75eebbefb0f3284243affbe992e:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xf68eecbe1db8760374697c6b3a76c7e2780c140c,6923187672877687098482,2021-06-20 08:30:20,redeem-underlying
5432,0xf4616a92b3cbe7595fe08bceea81d2d249afef2cd8993710c89c11e33d55f2ef:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x9257010255b86942ffee4118c1ced5276d1b47e9,168848298150444426412,2021-06-20 08:26:48,redeem-underlying
5433,0xf01c5e5aa853c7b5cf93cf3c7cb8638c60b239e088227e8fa0a565b75cb84110:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xf68eecbe1db8760374697c6b3a76c7e2780c140c,10000000000000000000000,2021-06-20 08:26:31,redeem-underlying
5434,0xdeada335ac7125597b9ea2aef9ced2fe439be0bab66871cb4dccf5d9ed3c7571:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x9257010255b86942ffee4118c1ced5276d1b47e9,144338284436073262,2021-06-20 08:23:14,redeem-underlying
5435,0xe4433bf4e22bca851ab7ae056aa578a43eadfe6df97a8388081f33dce73e4ab1:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xbcc4371cc40592794bf5b727c17cf7de37ac180a,229038146081957105009,2021-06-20 07:45:38,redeem-underlying
5436,0xf69375788e34d3edde755cefd7aeb09390081ccf5b29af472349f5e328b46c85:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x605f41e08b951457260dd0dff12ecfe09ce8702c,221314214024675063082,2021-06-20 06:19:04,redeem-underlying
5437,0x1252a480dfc4e892500d8dfa9022aad67fad8b9e5705d2e82c29153073fb5b57:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x1b05781b2c24255f5426e60f73d44906b12359ec,230852857317343615730,2021-06-20 06:19:04,redeem-underlying
5438,0xb2ab57d7bb69c64c52395f41107135ce0c01be39d82adfb63b5445d53e167fc4:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xbcc4371cc40592794bf5b727c17cf7de37ac180a,315742727196686046704,2021-06-20 06:17:47,redeem-underlying
5439,0x1c34454b7e3868426b2580cac25a3d0f0e2efb4ed50b06f1868dbd1d8a0a2393:3,0x7fd53085b9a29d236235d6fc593b47c9c33429f1,0xf24d10e4e30462728b40b7051cce558d785b1d16,20254668489232964879,2021-06-20 06:01:05,redeem-underlying
5440,0x83790c99d808378c8a1f771838ffe486c5b639332f52c4cf261c8fe18e3b588d:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xbcc4371cc40592794bf5b727c17cf7de37ac180a,198737071,2021-06-20 05:50:18,redeem-underlying
5441,0x868414f642214bc3fad0d34068223de5f477bbb0f65188078b211bc8d4f16e92:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xbcc4371cc40592794bf5b727c17cf7de37ac180a,59627155229298379064,2021-06-20 05:47:30,redeem-underlying
5442,0x73f45b505f471c8a248423a4c88b1e6da253129981135cfa8f3e7c639cfc5426:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xbcc4371cc40592794bf5b727c17cf7de37ac180a,40000400000000000000,2021-06-20 05:42:05,redeem-underlying
5443,0xc1e5450b5babf386fd24eb36907cc166c4b0753be611bb3342cc514196a80266:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xbcc4371cc40592794bf5b727c17cf7de37ac180a,33038376824117615383,2021-06-20 04:29:08,redeem-underlying
5444,0x7b97d3c04ea05fe2819aa855b1c35fb4ebc18bf33c1320fa12b5393b2571bb5e:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x59f5ab1bf29a6125d99dc2e4eb6b17ee371cec6f,1041978523,2021-06-20 03:39:05,redeem-underlying
5445,0x3778c7444d12fc86f05911553ca2e1285375b3b278b8748154eb73b425c83927:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x89159c15fffaf24bbdcabca777102e02bf4464d7,312861785640602537925,2021-06-20 03:14:52,redeem-underlying
5446,0xbf8344d79ecdb36f9d8f8c6e91471a3c1265c031a7dbe39b0d68778de6b34ad7:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xe2efc078161c8b024ac4cf15abc7e2cc8271ec41,287968027584413330923,2021-06-20 02:49:18,redeem-underlying
5447,0x8071ec9a83a9f1ec29b65a7c1f7731af6e7c81e096deb1f26c96e7a0b37edb3f:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xa1819957ed4bb08b9decb0c41a100535a4bc9763,4904931967148692170149,2021-06-20 02:44:53,redeem-underlying
5448,0x7fe848e6695d817b4ebceba94ae4e4486767e6ffc5c165b6f0a01d3f27a5adc0:3,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x3e0c3acc8186bfb1185e03dd7d2edce0f162fe9e,161527190102345510673,2021-06-20 01:44:07,redeem-underlying
