,id,pool-id,user-id,fee-liquidated,liquidated-collateral-for-free,date,method
156,0x17cde4c1c805d4c322026881694192848f61743dd1714736ce97aaa949b3ea74:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xd0cbede12fa67d20b715c5b1604926d9adc50d71,70,5656396930655,2021-07-20 14:00:13,origination-fee-liquidation
157,0x23300d4609e233e8bcb07a489303f945a20edf636692752c13ee447ba5520874:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xee0c753f1ea84b0adde35fd45d1ba3691174010b,1,613560855871063,2021-07-20 12:54:31,origination-fee-liquidation
158,0xd515ce0cd4bd85be6ade17c18b2486b509f16a562390bb133edfa11efc77120a:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xb222c27b2999d73abce3115bf400861e48bf1f32,4962,2977051140000,2021-07-20 09:40:26,origination-fee-liquidation
159,0xf22cabe9d806c057b7d1f35b912482e0ebbc2136d412aae0c0dd549d2e76d520:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x8ca7ed9b02ec1e8beee868a32495ed5b157eee08,65080000000000,9209058807638625,2021-07-20 08:32:05,origination-fee-liquidation
160,0xb29145184684c362c2565eeadfbc990d09d38bb41ca3274bd160ee079bf86bfe:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x694b5cb952b96dafb3c48bb31818bb9565b051f0,334,26986407004279,2021-07-20 06:16:14,origination-fee-liquidation
161,0x2b221e2f5af7e92d7edd451de7c73bf28f0ffc423ea28c4181e11b02f091f12f:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x02eaa99393e802fae56bc7f66634ddb4757a19f0,90182381590404,52908555901,2021-07-20 03:16:44,origination-fee-liquidation
162,0x3e2cea4db0312597e2d845a8a2f43eb439ac428a4dfb5b38d9c80edc10892fa0:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x819b4974cf21f7f261279fdb8ec01ebc8629635b,593,44515410691457,2021-07-19 14:39:32,origination-fee-liquidation
163,0x12b4fa61680e58f853773cc3ebefe8283d8d74b43e79e3a72ec852720ee1cbed:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x107fe2152ee2f585711a6ea58f755d9a3b8ef119,1000000000000000,73658330858926,2021-07-19 14:35:37,origination-fee-liquidation
164,0x6afdd2989ff60df8cc2075da58aa011265d157712858ca31e8516027e5c661df:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x229aa26280e5b22d856d3a9112fabe5f724e603b,50000000000,6797676430601,2021-07-17 10:30:36,origination-fee-liquidation
165,0xcffd50c65f3ba309aab64952021dd20840e24cdcd2e45b6ac03acec54b9e07e7:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x3a2ef06078789cd0fe7d5fac894d80b17b0be210,250,17424789911766,2021-07-16 00:49:55,origination-fee-liquidation
166,0x1f565965c446606641260b249d578aeb43d8902c07b4c6f0c84b504e9b6f79eb:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xef8a47c8da817fb5a9be047e2d2e30e964af4341,63,34523154666,2021-07-16 00:09:25,origination-fee-liquidation
167,0x1b6e482612b18d35602a11607d4e8c4f439af77ed57460acdfdc6c07cfe52c9b:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xe25e044d1b59caf7c4bd7f7e2d7065d20292aa77,1370000000000000,714685112486,2021-07-13 07:13:31,origination-fee-liquidation
168,0x5c6d504057359d9a0843be5a3ef07ff36a72d6f28f107d7822f5f74f4323e58d:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xf14fc29a5a686c112df2780427fb25c1e44ed84a,753015093862,9,2021-07-12 01:42:14,origination-fee-liquidation
169,0xe5a46e425f224548d8add7e8d609529c95d06d3ba7ca8cd0110326932980e01c:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xf4e89c8349f7058e7856dd192d17ab55f6491a85,131117556169,17588940461694,2021-07-04 07:57:56,origination-fee-liquidation
170,0x3717f5e3b9364f9ee1c46a7cde08ac0b81e3993d37a0d70c81c62d4c87a266f9:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xb4ae18a0eeba9448e5257a82c4347cbd655e84b2,28,81481797026859,2021-07-04 05:18:33,origination-fee-liquidation
171,0x9471cdea78be18ef618291f5295390b7b06417e328d8ce71ebc7d777312b2f5b:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x18fc6e5341d57c757659b888db134c2eb366e97b,35207343252150,36607794902850,2021-07-03 15:39:38,origination-fee-liquidation
172,0x2c16dd802a9d45d02f3927676eb4f3a9ffc25f7a53b7d7e6a052fb3c63efbddc:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x68a692606c58535f39c7fd7f39cc8a99697f7d72,32655691290956,241,2021-06-29 00:53:42,origination-fee-liquidation
173,0x64ae7c2a247f41b7edfff11691ab8e6267b4ad3dba4fd6ca9507d9bb8f9e44b6:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xae8467dacc1772464de535a9b8c51d3551eb026b,36985157177357,20919514774,2021-06-27 11:18:15,origination-fee-liquidation
174,0xc5b374bea5f6518fb2e0d5d1ac801d52e8ee9878017aed7d7bdf9838efa02dea:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x214ce2a5f7a43eb6e58c50994011dfa13132227c,110618034721742,116148936457829,2021-06-26 20:29:17,origination-fee-liquidation
175,0x9032225903402b3224b0cb9922254d244920157de8cb49e7d85c4979b721d77f:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x21295f180d478b1c11e6388692ac47c0c44c2697,32079126336777,19016627323,2021-06-26 18:06:48,origination-fee-liquidation
176,0xdc1cc13d2feb95caea7f7f6b51ace7d8bfe272527df46c6d65048c53e8c49037:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x1ff80c224cf7f42d715e4d7b2f6485aca06d54e0,68258777437569,4555824294733,2021-06-26 16:59:34,origination-fee-liquidation
177,0x1d42fa36b00c31cf9a130b9e99db07a6b2a48b7d332676adc57988229c8bd458:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xfd0069bfee8017a9056987bfee2a1fed4b267b5a,82,48505594241077,2021-06-26 14:40:15,origination-fee-liquidation
